Rank 2018,Row Labels,2014,2015,2016,2017,2018,Grand Total,2014-2017 % Change,2016-2017 % Change,2017 - year to date % Change
1,Capitol Hill,65,141,274,345,274,1099,430.7692308,25.91240876,-20.57971014
2,Columbia Heights,65,154,263,357,263,1102,449.2307692,35.74144487,-26.33053221
3,Petworth,72,131,257,448,257,1165,522.2222222,74.31906615,-42.63392857
4,Dupont Circle,34,74,172,155,172,607,355.8823529,-9.88372093,10.96774194
5,16th Street Heights,28,66,153,206,153,606,635.7142857,34.64052288,-25.72815534
6,Logan Circle,26,39,130,202,130,527,676.9230769,55.38461538,-35.64356436
7,Park View,84,82,128,199,128,621,136.9047619,55.46875,-35.67839196
8,Near Northeast,32,83,123,207,123,568,546.875,68.29268293,-40.57971014
9,Riggs Park,12,35,121,95,121,384,691.6666667,-21.48760331,27.36842105
10,U Street,42,65,118,181,118,524,330.952381,53.38983051,-34.80662983
11,Shaw,33,65,113,177,113,501,436.3636364,56.63716814,-36.15819209
12,Downtown,16,36,86,126,86,350,687.5,46.51162791,-31.74603175
13,Brightwood,9,23,84,124,84,324,1277.777778,47.61904762,-32.25806452
14,Trinidad,26,35,78,140,78,357,438.4615385,79.48717949,-44.28571429
15,Pleasant Plains,40,56,75,118,75,364,195,57.33333333,-36.44067797
16,West Village Georgetown,19,16,61,83,61,240,336.8421053,36.06557377,-26.5060241
17,Eckington,32,51,54,146,54,337,356.25,170.3703704,-63.01369863
18,East Village Georgetown,12,19,52,43,52,178,258.3333333,-17.30769231,20.93023256
19,Mt. Pleasant,17,31,48,79,48,223,364.7058824,64.58333333,-39.24050633
20,Foggy Bottom,18,10,48,36,48,160,100,-25,33.33333333
21,Fairlawn,6,10,46,156,46,264,2500,239.1304348,-70.51282051
22,Bloomingdale,23,25,46,86,46,226,273.9130435,86.95652174,-46.51162791
23,Congress Heights,5,18,45,67,45,180,1240,48.88888889,-32.8358209
24,Strivers Section,6,37,38,98,38,217,1533.333333,157.8947368,-61.2244898
25,Lanier Heights,2,7,34,27,34,104,1250,-20.58823529,25.92592593
26,Manor Park,10,15,34,21,34,114,110,-38.23529412,61.9047619
27,Ledroit Park,23,32,31,96,31,213,317.3913043,209.6774194,-67.70833333
28,Brookland,7,11,27,35,27,107,400,29.62962963,-22.85714286
29,Kalorama Triangle,3,8,27,27,27,92,800,0,0
30,Woodridge,5,3,26,43,26,103,760,65.38461538,-39.53488372
31,Glover Park,11,15,26,26,26,104,136.3636364,0,0
32,Woodley Park,4,4,26,24,26,84,500,-7.692307692,8.333333333
33,Cleveland Park,0,4,24,6,24,58,#DIV/0!,-75,300
34,Washington Heights,1,21,23,52,23,120,5100,126.0869565,-55.76923077
35,Truxton Circle,10,14,23,48,23,118,380,108.6956522,-52.08333333
36,Deanwood,0,9,23,31,23,86,#DIV/0!,34.7826087,-25.80645161
37,Carver Langston,5,10,22,33,22,92,560,50,-33.33333333
38,Southwest Waterfront,2,12,22,19,22,77,850,-13.63636364,15.78947368
39,Anacostia,7,10,20,37,20,94,428.5714286,85,-45.94594595
40,Brightwood Park,5,0,19,22,19,65,340,15.78947368,-13.63636364
41,Kingman Park/Rosedale,12,29,18,77,18,154,541.6666667,327.7777778,-76.62337662
42,Buena Vista,0,8,18,21,18,65,#DIV/0!,16.66666667,-14.28571429
43,Langdon,1,9,17,28,17,72,2700,64.70588235,-39.28571429
44,Civic Betterment,3,3,17,13,17,53,333.3333333,-23.52941176,30.76923077
45,Fort Davis,1,4,16,26,16,63,2500,62.5,-38.46153846
46,Sheridan-Kalorama,6,4,15,8,15,48,33.33333333,-46.66666667,87.5
47,North Michigan Park,2,11,14,27,14,68,1250,92.85714286,-48.14814815
48,Benning Ridge,1,7,14,13,14,49,1200,-7.142857143,7.692307692
49,Edgewood,6,34,13,29,13,95,383.3333333,123.0769231,-55.17241379
50,Capitol View,0,5,13,26,13,57,#DIV/0!,100,-50
51,Washington Highlands,1,4,13,20,13,51,1900,53.84615385,-35
52,Waterfront Georgetown,3,3,13,17,13,49,466.6666667,30.76923077,-23.52941176
53,American University Park,3,11,13,14,13,54,366.6666667,7.692307692,-7.142857143
54,Burleith,11,14,12,25,12,74,127.2727273,108.3333333,-52
55,Michigan Park,1,7,12,19,12,51,1800,58.33333333,-36.84210526
56,Cathedral Heights,2,1,11,6,11,31,200,-45.45454545,83.33333333
57,Brentwood,3,13,10,19,10,55,533.3333333,90,-47.36842105
58,NoMa,1,2,10,9,10,32,800,-10,11.11111111
59,Burrville,0,2,10,6,10,28,#DIV/0!,-40,66.66666667
60,Chevy Chase,5,26,9,34,9,83,580,277.7777778,-73.52941176
61,Lamond Riggs,0,3,9,21,9,42,#DIV/0!,133.3333333,-57.14285714
62,Fort Totten,0,4,9,12,9,34,#DIV/0!,33.33333333,-25
63,Hillbrook,0,0,9,11,9,29,#DIV/0!,22.22222222,-18.18181818
64,Northwest One,4,0,9,7,9,29,75,-22.22222222,28.57142857
65,Marshall Heights,0,3,8,25,8,44,#DIV/0!,212.5,-68
66,Reed-Cooke,11,6,8,22,8,55,100,175,-63.63636364
67,Northeast Boundary,0,6,8,18,8,40,#DIV/0!,125,-55.55555556
68,Greenway,0,0,8,11,8,27,#DIV/0!,37.5,-27.27272727
69,Randle Highlands,0,1,7,10,7,25,#DIV/0!,42.85714286,-30
70,Shipley Terrace,0,3,7,10,7,27,#DIV/0!,42.85714286,-30
71,Southwest Federal Center,0,2,7,9,7,25,#DIV/0!,28.57142857,-22.22222222
72,West End,4,1,7,9,7,28,125,28.57142857,-22.22222222
73,Douglas,0,1,7,3,7,18,#DIV/0!,-57.14285714,133.3333333
74,Benning,2,4,6,14,6,32,600,133.3333333,-57.14285714
75,Takoma,0,2,6,11,6,25,#DIV/0!,83.33333333,-45.45454545
76,North Cleveland Park,0,0,6,9,6,21,#DIV/0!,50,-33.33333333
77,River Terrace,0,2,6,8,6,22,#DIV/0!,33.33333333,-25
78,Union Station,0,4,6,6,6,22,#DIV/0!,0,0
79,Mt. Vernon Triangle,0,3,5,38,5,51,#DIV/0!,660,-86.84210526
80,Mt. Vernon Square,0,3,5,19,5,32,#DIV/0!,280,-73.68421053
81,Bellevue,2,5,5,11,5,28,450,120,-54.54545455
82,Mahaning Heights/Central Northeast,1,2,5,10,5,23,900,100,-50
83,University Heights,1,8,5,5,5,24,400,0,0
84,Friendship Heights,1,3,5,4,5,18,300,-20,25
85,Foxhall Village,0,1,4,5,4,14,#DIV/0!,25,-20
86,Stronghold,0,1,4,2,4,11,#DIV/0!,-50,100
87,Garfield Heights,1,2,4,2,4,13,100,-50,100
88,Kenilworth,0,0,3,5,3,11,#DIV/0!,66.66666667,-40
89,Barry Farm,0,0,3,4,3,10,#DIV/0!,33.33333333,-25
90,Fairfax Village,0,1,3,4,3,11,#DIV/0!,33.33333333,-25
91,The Capitol Grounds,0,2,3,3,3,11,#DIV/0!,0,0
92,Crestwood,0,0,3,1,3,7,#DIV/0!,-66.66666667,200
93,Tenleytown,2,4,3,1,3,13,-50,-66.66666667,200
94,West Potomac Park,0,0,3,0,3,6,#DIV/0!,-100,#DIV/0!
95,Pleasant Hills,0,6,2,12,2,22,#DIV/0!,500,-83.33333333
96,Hillcrest,0,1,2,5,2,10,#DIV/0!,150,-60
97,St. Elizabeths Hospital East,0,1,2,5,2,10,#DIV/0!,150,-60
98,Georgetown University,0,0,2,1,2,5,#DIV/0!,-50,100
99,Good Hope,0,0,2,1,2,5,#DIV/0!,-50,100
100,McLean Gardens,0,0,2,1,2,5,#DIV/0!,-50,100
101,Palisades,0,0,2,1,2,5,#DIV/0!,-50,100
102,Penn Branch section of Dupont Park,0,0,2,1,2,5,#DIV/0!,-50,100
103,Knox Hill,1,0,2,1,2,6,0,-50,100
104,Shepherd Park,1,0,1,11,1,14,1000,1000,-90.90909091
105,Near South East,1,1,1,10,1,14,900,900,-90
106,Twining,0,0,1,9,1,11,#DIV/0!,800,-88.88888889
107,Fort Dupont,0,1,1,6,1,9,#DIV/0!,500,-83.33333333
108,Gateway,0,0,1,6,1,8,#DIV/0!,500,-83.33333333
109,Observatory Circle,1,3,1,6,1,12,500,500,-83.33333333
110,National Mall,0,0,1,2,1,4,#DIV/0!,100,-50
111,Barney Circle,0,5,1,1,1,8,#DIV/0!,0,0
112,Capital City Market,0,0,1,1,1,3,#DIV/0!,0,0
113,Fort Lincoln,0,0,1,1,1,3,#DIV/0!,0,0
114,Wakefield,0,2,1,1,1,5,#DIV/0!,0,0
115,Woodland,0,0,1,1,1,3,#DIV/0!,0,0
116,Anacostia Boat Clubs,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
117,Barnaby Woods,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
118,Buzzard Point,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
119,Colonial Village,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
120,D.C. General Hospital and Prison,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
121,Eastland Gardens,0,1,1,0,1,3,#DIV/0!,-100,#DIV/0!
122,Federal Triangle,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
123,Forest Hills,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
124,Fort Dupont Park,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
125,Fort Stanton,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
126,Gallaudet University,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
127,Joint Base Anacostia Bolling Naval Research Laboratory,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
128,Kent,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
129,Mayfair,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
130,Naylor Gardens,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
131,Spring Valley,0,1,1,0,1,3,#DIV/0!,-100,#DIV/0!
132,White House Grounds,0,0,1,0,1,2,#DIV/0!,-100,#DIV/0!
133,Potomac Heights,2,0,1,0,1,4,-100,-100,#DIV/0!
134,Ivy City,2,4,0,10,0,16,400,#DIV/0!,-100
135,Dupont Park,0,0,0,4,0,4,#DIV/0!,#DIV/0!,-100
136,Catholic University and other Catholic Institutions,0,1,0,2,0,3,#DIV/0!,#DIV/0!,-100
137,McMillan Reservoir,0,0,0,2,0,2,#DIV/0!,#DIV/0!,-100
138,Northwest Rectangle,0,0,0,2,0,2,#DIV/0!,#DIV/0!,-100
139,Parkside,0,0,0,2,0,2,#DIV/0!,#DIV/0!,-100
140,Wesley Heights,0,0,0,2,0,2,#DIV/0!,#DIV/0!,-100
141,American University,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
142,Benning Heights/Simple City,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
143,Fort Circle Parkland,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
144,Glenwood/St. Mary's Cemeteries,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
145,Gov Fleet Parking,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
146,Hawthorne,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
147,National Zoological Park,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
148,Park Place/Cloisters,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
149,Queens Chapel,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
150,Rock Creek and  Potomac Parkway,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
151,Skyland,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
152,Walter Reed Medical Center,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
153,Woodland-Normanstone Terrace,0,0,0,1,0,1,#DIV/0!,#DIV/0!,-100
154,Howard University,1,1,0,1,0,3,0,#DIV/0!,-100
155,Mass. Ave. Heights,1,0,0,1,0,2,0,#DIV/0!,-100
156,Anacostia Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
157,Anacostia River,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
158,Anacostia River Islands,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
159,Arboretum,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
160,Barnard Hill Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
161,Battery Kemble Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
162,Berkley/Foxhall Crescents,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
163,Blue Plains,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
164,Brentwood Railyard,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
165,C&O Canal Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
166,Colony Hill,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
167,Congressional Cemetery,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
168,Dalecarlia Reservoir,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
169,DC Village,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
170,DHS,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
171,Dumbarton Oaks Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
172,East Potomac Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
173,Ellipse,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
174,Fort Chaplin Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
175,Fort Davis Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
176,Fort Mahan Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
177,Fort Slocum Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
178,Fort Stanton Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
179,Fort Totten Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
180,Ft. McNair,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
181,Glover-Archbold Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
182,GWU-MV,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
183,Hains Point,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
184,Hillandale,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
185,Ivy City Railyard,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
186,Kenilworth Aquatic Gardens,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
187,Lafayette Square,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
188,Langston Golf Course,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
189,McMillan Sand Filtration Site,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
190,Melvin C. Hazen Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
191,Mt. Olivet Cemetery,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
192,National Arboretum,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
193,National Cathedral Grounds,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
194,Navy Yard,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
195,Normanstone Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
196,North Portal Estates,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
197,Oxon Run Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
198,Pepco Benning Road Plant,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
199,Pinehurst Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
200,Pope Branch Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
201,Poplar Point,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
202,Rock Creek Gardens,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
203,Rock Creek Park (north),0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
204,Rock Creek Park (south),0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
205,Shepherd Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
206,Sibley Hospital,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
207,Soapstone Valley Park,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
208,St. Elizabeths Hospital West,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
209,Stadium/Armory Area,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
210,Tidal Basin,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
211,Washington Hebrew Congregation Cemetery,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
212,Washington Hospital Center,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
213,Washington Monument Grounds,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
214,Whitehaven Parkway,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
215,Woodlawn/Payne Cemetery,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
216,Old Soldiers Home,1,0,0,0,0,1,-100,#DIV/0!,#DIV/0!
217,Rock Creek Cemetery,1,0,0,0,0,1,-100,#DIV/0!,#DIV/0!